EstablecimientoCodigo,EstablecimientoGlosa,RegionCodigo,RegionGlosa,ComunaCodigo,ComunaGlosa,ServicioSaludCodigo,ServicioSaludGlosa,TipoEstablecimiento,DependenciaAdministrativa,NivelAtencion,TipoUrgencia,Latitud,Longitud,NivelComplejidad,Anio,SemanaEstadistica,OrdenCausa,Causa,NumTotal,NumMenor1Anio,Num1a4Anios,Num5a14Anios,Num15a64Anios,Num65oMas,FechaAtencionTexto,SexoPaciente,PrioridadTriage,CostoAtencionCLP
110901,Hospital Regional de Arica Dr. Juan Noe,15,Arica y Parinacota,15101,Arica,1,Servicio de Salud Arica,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-18.4783,-70.3126,Alta Complejidad,2023,1,1,Influenza y neumonia,201,19,21,27,87,47,02-01-2023,M,C4,76802.0
110901,Hospital Regional de Arica Dr. Juan Noe,15,Arica y Parinacota,15101,Arica,1,Servicio de Salud Arica,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-18.4783,-70.3126,Alta Complejidad,2023,1,2,Infeccion respiratoria aguda alta,193,14,25,30,106,18,2023/01/02,F,C4,100368.0
110901,Hospital Regional de Arica Dr. Juan Noe,15,Arica y Parinacota,15101,Arica,1,Servicio de Salud Arica,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-18.4783,-70.3126,Alta Complejidad,2023,1,3,Bronquitis/Bronquiolitis aguda,94,18,19,23,28,6,02.01.23,M,C5,618855.0
110901,Hospital Regional de Arica Dr. Juan Noe,15,Arica y Parinacota,15101,Arica,1,Servicio de Salud Arica,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-18.4783,-70.3126,Alta Complejidad,2023,1,4,Crisis asmática,74,3,11,17,35,8,2023/01/02,M,C3,62320.0
110901,Hospital Regional de Arica Dr. Juan Noe,15,Arica y Parinacota,15101,Arica,1,Servicio de Salud Arica,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-18.4783,-70.3126,Alta Complejidad,2023,1,5,Insuficiencia respiratoria aguda,132,5,5,3,61,58,02.01.23,M,C3,49515.0
110901,Hospital Regional de Arica Dr. Juan Noe,15,Arica y Parinacota,15101,Arica,1,Servicio de Salud Arica,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-18.4783,-70.3126,Alta Complejidad,2023,1,6,COVID-19 sospecha/confirmada,64,1,6,12,33,12,02-01-2023,M,C4,127042.0
130215,Hospital Dr. Gustavo Fricke,5,Valparaiso,5109,Vina del Mar,5,Servicio de Salud Vina del Mar-Quillota,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-33.0245,-71.5518,Alta Complejidad,2023,1,1,Influenza y neumonia,70,4,7,10,34,15,02.01.23,F,C1,95664.0
130215,Hospital Dr. Gustavo Fricke,5,Valparaiso,5109,Vina del Mar,5,Servicio de Salud Vina del Mar-Quillota,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-33.0245,-71.5518,Alta Complejidad,2023,1,2,Infeccion respiratoria aguda alta,88,10,14,17,31,16,2023/01/02,F,C4,124711.0
130215,Hospital Dr. Gustavo Fricke,5,Valparaiso,5109,Vina del Mar,5,Servicio de Salud Vina del Mar-Quillota,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-33.0245,-71.5518,Alta Complejidad,2023,1,3,Bronquitis/Bronquiolitis aguda,115,43,23,18,27,4,2023/01/02,F,C2,100848.0
130215,Hospital Dr. Gustavo Fricke,5,Valparaiso,5109,Vina del Mar,5,Servicio de Salud Vina del Mar-Quillota,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-33.0245,-71.5518,Alta Complejidad,2023,1,4,Crisis asmática,159,15,21,45,61,17,02-01-2023,F,C1,88788.0
